,0,1,2,3,4,5
0,112,0,336,224,0.104,1000
1,112,1792,336,2016,0.102,1000
2,224,2016,448,2240,0.104,1000
3,336,2352,560,2576,0.102,1000
4,896,2576,1120,2800,0.105,1000
5,1008,2464,1232,2688,0.104,1000
6,1008,3136,1232,3360,0.104,1000
7,1120,1456,1344,1680,0.101,1000
8,1120,2240,1344,2464,0.103,1000
9,1232,112,1456,336,0.104,1000
10,1232,1008,1456,1232,0.104,1000
11,1344,2688,1568,2912,0.103,1000
12,1456,3136,1680,3360,0.105,1000
13,1568,560,1792,672,0.1045,1000
14,1680,336,1904,560,0.101,1000
15,1680,896,1904,1120,0.101,1000
16,1792,2240,1904,2464,0.104,1000
17,1792,1120,2016,1344,0.105,1000
18,1904,1568,2128,1792,0.101,1000
19,2128,336,2352,560,0.105,1000
20,2128,784,2352,1008,0.101,1000
21,2240,1680,2464,1904,0.102,1000
22,2240,2016,2464,2240,0.103,1000
23,2352,0,2576,224,0.102,1000
24,2464,784,2688,1008,0.105,1000
25,2800,1120,3024,1344,0.103,1000
26,2800,2576,3024,2800,0.103,1000
27,2912,224,3136,448,0.101,1000
28,2912,784,3136,1008,0.103,1000
29,3024,0,3248,224,0.101,1000
30,3024,1680,3248,1904,0.101,1000
31,3248,336,3360,560,0.1035,1000
32,3136,1456,3360,1680,0.101,1000
33,3248,1568,3472,1792,0.101,1000
34,3360,2800,3472,3024,0.10300000000000001,1000
35,3360,448,3584,672,0.102,1000
36,3472,1008,3696,1232,0.105,1000
37,3920,112,4144,336,0.104,1000
38,3920,2912,4144,3136,0.101,1000
39,4032,1792,4256,2016,0.105,1000
40,4144,2688,4368,2912,0.105,1000
41,4144,2912,4368,3136,0.104,1000
42,4368,896,4592,1120,0.104,1000
43,4368,1232,4592,1456,0.102,1000
44,4368,2464,4592,2688,0.101,1000
45,112,0,336,224,0.105,1001
46,336,2688,448,2912,0.10200000000000001,1001
47,448,336,672,560,0.101,1001
48,448,560,672,784,0.104,1001
49,448,1904,672,2128,0.103,1001
50,448,2912,672,3136,0.105,1001
51,560,112,784,336,0.102,1001
52,560,1008,784,1232,0.102,1001
53,672,1792,896,2016,0.104,1001
54,672,2240,896,2464,0.101,1001
55,784,560,1008,784,0.101,1001
56,784,1568,1008,1792,0.102,1001
57,896,2912,1120,3136,0.103,1001
58,1120,1568,1344,1792,0.101,1001
59,1120,2128,1344,2352,0.101,1001
60,1232,0,1456,224,0.101,1001
61,1232,2016,1456,2240,0.105,1001
62,1344,1008,1568,1232,0.103,1001
63,1344,1456,1568,1680,0.102,1001
64,1344,2688,1568,2912,0.105,1001
65,1680,1568,1904,1792,0.104,1001
66,1680,1904,1904,2128,0.102,1001
67,1792,1120,2016,1344,0.101,1001
68,1904,2800,2016,3024,0.1045,1001
69,2016,448,2240,672,0.104,1001
70,2240,1680,2464,1904,0.102,1001
71,2352,784,2576,1008,0.102,1001
72,2576,0,2800,224,0.101,1001
73,2576,336,2800,560,0.102,1001
74,2576,1456,2800,1680,0.101,1001
75,2576,2464,2800,2688,0.102,1001
76,2576,2912,2800,3136,0.103,1001
77,2688,1120,2912,1344,0.105,1001
78,2688,2128,2912,2352,0.103,1001
79,2688,2576,2912,2800,0.101,1001
80,2800,2352,3024,2576,0.101,1001
81,3024,112,3136,336,0.10250000000000001,1001
82,2912,336,3136,560,0.104,1001
83,2912,2800,3136,3024,0.101,1001
84,2912,3136,3136,3248,0.104,1001
85,2912,3248,3136,3360,0.104,1001
86,3136,112,3248,336,0.10300000000000001,1001
87,3136,1120,3360,1344,0.105,1001
88,3136,2016,3360,2240,0.102,1001
89,3248,560,3472,784,0.105,1001
90,3360,1344,3584,1568,0.103,1001
91,3360,1904,3584,2128,0.104,1001
92,3472,224,3696,448,0.102,1001
93,3584,1120,3808,1344,0.103,1001
94,3696,2240,3808,2464,0.103,1001
95,3696,1568,3920,1792,0.101,1001
96,3696,3136,3920,3360,0.102,1001
97,3808,448,4032,672,0.103,1001
98,3808,1120,4032,1344,0.105,1001
99,3808,1904,4032,2016,0.1025,1001
100,3808,2576,4032,2800,0.103,1001
101,3920,2128,4144,2352,0.104,1001
102,4032,2240,4256,2464,0.104,1001
103,4032,2464,4256,2688,0.102,1001
104,4144,1904,4368,2128,0.105,1001
105,4256,2688,4480,2912,0.101,1001
106,4368,672,4592,896,0.102,1001
107,4368,2240,4592,2464,0.102,1001
108,0,1344,224,1568,0.102,1002
109,112,1232,336,1456,0.104,1002
110,112,2576,336,2800,0.102,1002
111,336,224,560,448,0.104,1002
112,448,896,672,1120,0.102,1002
113,448,2576,672,2800,0.103,1002
114,560,2800,672,3024,0.1035,1002
115,672,2464,896,2688,0.102,1002
116,784,3024,1008,3248,0.102,1002
117,1008,2464,1232,2688,0.105,1002
118,1120,1344,1344,1568,0.102,1002
119,1232,1792,1456,2016,0.104,1002
120,1232,2800,1456,3024,0.102,1002
121,1568,448,1680,672,0.10300000000000001,1002
122,1568,672,1792,784,0.1035,1002
123,1568,3024,1792,3248,0.103,1002
124,1792,0,2016,224,0.105,1002
125,1792,448,2016,672,0.102,1002
126,1792,1904,2016,2128,0.101,1002
127,1904,1232,2128,1456,0.103,1002
128,1904,3136,2128,3360,0.101,1002
129,2016,112,2240,336,0.103,1002
130,2016,2464,2240,2688,0.105,1002
